item_id,country,sentence,annotator_2_label,annotator_4_label,n_annotators,n_valid_labels,majority_label,majority_count,agreement_share,full_agreement,model_label_reference,reference_label,majority_matches_reference
S01,Canada,"Its generative Al tool, AgPal Chat, helps users find relevant funding and resources faster, supporting the sustainable growth and competitiveness of the sector.",Innovation-oriented,Innovation-oriented,2,2,Innovation-oriented,2,1.0,True,AI-friendly,Innovation-oriented,True
S03,France,"for the adoption of AI by businesses), contractual relationships with private partners (e.g.",Unsure,Unsure,2,2,Unsure,2,1.0,True,AI-friendly,Innovation-oriented,False
S05,Italy,"In this sense, at least two sets of problems arise, upon which the space and competitiveness of Artificial Intelligence systems developed in Italy will depend.",Unsure,Unsure,2,2,Unsure,2,1.0,True,AI-friendly,Innovation-oriented,False
S06,Japan,"In the field of Al, where basic research and social implementation are closely connected, the lack of progress in implementation has become a major bottleneck for Al development in Japan.",Innovation-oriented,Innovation-oriented,2,2,Innovation-oriented,2,1.0,True,AI-friendly,Innovation-oriented,True
S07,United Kingdom,oxinote 3) Setting a short-term target to train tens of thousands of Al professionals by 2030 will help bridge the estimated gap between supply and demand.,Innovation-oriented,Innovation-oriented,2,2,Innovation-oriented,2,1.0,True,AI-friendly,Innovation-oriented,True
S10,China,"Innovation is “fl owing water”, making China’s seed of advanced ideas into towering trees.",Innovation-oriented,Innovation-oriented,2,2,Innovation-oriented,2,1.0,True,AI-friendly,Innovation-oriented,True
S11,Canada,Respondents suggested regular ethical audits to ensure compliance with the guidelines and prevent harmful biases.,Risk-oriented,Risk-oriented,2,2,Risk-oriented,2,1.0,True,AI-cautious,Risk-oriented,True
S13,France,Tailor-made treatment should be reserved for public procurement involving the processing of sensitive data.,Risk-oriented,Risk-oriented,2,2,Risk-oriented,2,1.0,True,AI-cautious,Risk-oriented,True
S14,Germany,It is also working to ensure that all stakeholders in the field of AI honour their individual responsibility to respect human rights.,Risk-oriented,Risk-oriented,2,2,Risk-oriented,2,1.0,True,AI-cautious,Risk-oriented,True
S15,Italy,"In particular, the Committee will take care to highlight the risks inherent to specific initiatives, guiding project choices towards approaches that ensure the safety and reliability of the solutions.",Risk-oriented,Risk-oriented,2,2,Risk-oriented,2,1.0,True,AI-cautious,Risk-oriented,True
S19,Canada,"Some law or policy is silent on areas needed to govern AI, while others may introduce unintended bias in data collection or obstruct AI adoption unnecessarily and unintentionally.",Mixed,Mixed,2,2,Mixed,2,1.0,True,AI-cautious,Risk-oriented,False
S22,China,(V) Developing AI + Developing Governance 1.,Mixed,Mixed,2,2,Mixed,2,1.0,True,mixed,Mixed,True
S24,Germany,They include principles for responsible stewardship of trustworthy AI and policy and cooperation recommendations.,Risk-oriented,Risk-oriented,2,2,Risk-oriented,2,1.0,True,mixed,Mixed,False
S25,Italy,"The development of AI technologies has had, and will increasingly have in the near future, rapid rates that will open up opportunities and changes that need to be well-managed.",Mixed,Mixed,2,2,Mixed,2,1.0,True,mixed,Mixed,True
S26,Japan,(Toward Becoming “the most Al-friendly country in the world”) Japan has pursued Al strategy through promoting innovation while mitigating risks.,Mixed,Mixed,2,2,Mixed,2,1.0,True,mixed,Mixed,True
S27,United Kingdom,"Prioritisation should consider the potential economic and social value of the data, as well as public trust, national security, privacy, ethics, and data protection considerations.",Mixed,Mixed,2,2,Mixed,2,1.0,True,mixed,Mixed,True
S29,Canada,We encourage all federal organizations to embrace AI responsibly to meet the expectations of all Canadians for secure and modern government operations in the digital age.,Mixed,Mixed,2,2,Mixed,2,1.0,True,mixed,Mixed,True
S31,Canada,It will also continue to engage all departments on action implementation to ensure horizontal alignment.,Unsure,Unsure,2,2,Unsure,2,1.0,True,neutral,Neutral,False
S33,France, The public reports of the Court of Auditors are available online on the website of the Court and the regional and territorial chambers of accounts: www.ccomptes.fr.,Neutral,Neutral,2,2,Neutral,2,1.0,True,neutral,Neutral,True
S36,Japan,"130 of 1995)) and the Priority Plan for the Formation of a Digital Society (under Article 39, paragraph (1) of the Basic Act on the Formation of a Digital Society (Act No.",Unsure,Unsure,2,2,Unsure,2,1.0,True,neutral,Neutral,False
S37,United Kingdom,"My judgement is that experts, on balance, expect rapid progress to continue.",Innovation-oriented,Innovation-oriented,2,2,Innovation-oriented,2,1.0,True,neutral,Neutral,False
S38,United States,"These agencies could then provide analysis of AI adoption, job creation, displacement, and wage effects.",Neutral,Neutral,2,2,Neutral,2,1.0,True,neutral,Neutral,True
S39,Canada,"Although Canada is a global leader in AI research, demand for AI skills significantly outpaces supply.",Innovation-oriented,Innovation-oriented,2,2,Innovation-oriented,2,1.0,True,neutral,Neutral,False
